COMMON_NAME,TITLE,RET_PROD,REV,LAYER,STEP,PLATE_TYPE,TAPEIN_TREND,ITO_TREND,ITO_COMMIT,ITO_STATUS,RET_FABREV,FAB,BARCODE,IMO_TREND,IMO_COMMIT,IMO_STATUS,SHIPDATE,FAB_REQUIREDDATE,IMO_DOTPROCESS,IMO_ISHOT,TECHNOLOGY,TO_ENGCONTACT,DBNAMES,LAST_UPDATED_TIMESTAMP
PANTHERLAKE-CPU-P,0AA3,8PXSCB,0,DR5,B,AI6N,12/03/2024,12/05/2024,2024-12-08 12:00:00,Released,REV 1.3.2.0,F32,8PXSCBDR50AA3,03/28/2025,2025-04-06 00:00:00,Shipped,2025-03-28 05:08:26,04/17/2025,1278.3-17,,1278.3,VERJAVEC,"8pxscb_0a.oas,f300351a.oas",2025-01-25 03:03:54
PANTHERLAKE-CPU-P,0AA3,8PXSCB,0,DR6,B,AI6N,12/03/2024,12/05/2024,2024-12-08 12:00:00,Released,REV 3.1.5.0,F32,8PXSCBDR60AA3,03/17/2025,2025-04-06 00:00:00,Shipped,2025-03-17 01:08:25,03/17/2025,1278.3-17,,1278.3,VERJAVEC,"8pxscb_0a.oas,f300351a.oas",2025-01-25 03:03:54
PANTHERLAKE-CPU-P,0AA3,8PXSCB,0,HNS,B,AI6N,12/03/2024,12/05/2024,2024-12-08 12:00:00,Released,REV 2.1.4.0,F32,8PXSCBHNS0AA3,03/22/2025,2025-04-06 00:00:00,Shipped,2025-03-22 22:56:46,04/23/2025,1278.3-17,,1278.3,VERJAVEC,"8pxscb_0a.oas,f300351a.oas",2025-01-25 03:03:54
PANTHERLAKE-CPU-P,0AA3,8PXSCB,0,GC1,B,AI6U,12/03/2024,12/09/2024,2024-12-08 12:00:00,Released,REV 2.2.0.1,F52,8PXSCBGC10AA3,04/28/2025,2025-05-21 00:00:00,Processing - Active,,05/15/2025,1278.3-17,,1278.3,VERJAVEC,"8pxscb_0a.oas,f300351a.oas",2025-01-25 03:23:54
PANTHERLAKE-CPU-P,0AA3,8PXSCB,0,GC2,B,AI6U,12/03/2024,12/09/2024,2024-12-08 12:00:00,Released,REV 2.2.0.1,F52,8PXSCBGC20AA3,04/25/2025,2025-05-21 00:00:00,Processing - Active,,05/15/2025,1278.3-17,,1278.3,VERJAVEC,"8pxscb_0a.oas,f300351a.oas",2025-01-25 03:23:54
PANTHERLAKE-CPU-P,0EA4,8PXSCB,0,PLY,B,EA6M,12/03/2024,12/06/2024,2024-12-08 12:00:00,Released,REV 3.2.2.0,F52,8PXSCBPLY0EA4,04/18/2025,2025-04-17 00:00:00,Shipped,2025-04-18 23:40:23,04/07/2025,1278.3-17,,1278.3,VERJAVEC,"8pxscb_0a.oas,f300351a.oas",2025-01-25 03:03:54
PANTHERLAKE-CPU-P,0EA5,8PXSCB,0,PLY,B,EA6M,12/03/2024,12/06/2024,2024-12-08 12:00:00,Released,REV 3.2.2.0,F52,8PXSCBPLY0EA5,04/28/2025,2025-04-17 00:00:00,Processing - Active,,04/07/2025,1278.3-17,,1278.3,VERJAVEC,"8pxscb_0a.oas,f300351a.oas",2025-01-25 03:03:54
PANTHERLAKE-CPU-P,0EA3,8PXSCB,0,TPA,B,EA6M,12/03/2024,12/08/2024,2024-12-08 12:00:00,Released,REV 3.6.2.0,F52,8PXSCBTPA0EA3,05/10/2025,2025-05-11 00:00:00,Processing - Active,,05/11/2025,1278.3-17,,1278.3,VERJAVEC,"8pxscb_0a.oas,f300351a.oas",2025-01-25 03:23:54
PANTHERLAKE-CPU-P,0EA3,8PXSCB,0,TPB,B,EA6M,12/03/2024,12/08/2024,2024-12-08 12:00:00,Released,REV 3.6.2.0,F52,8PXSCBTPB0EA3,05/13/2025,2025-05-12 00:00:00,Processing - Active,,05/12/2025,1278.3-17,,1278.3,VERJAVEC,"8pxscb_0a.oas,f300351a.oas",2025-01-25 03:23:54
PANTHERLAKE-CPU-P,0EA4,8PXSCB,0,TPB,B,EA6M,12/03/2024,12/08/2024,2024-12-08 12:00:00,Released,REV 3.6.2.0,F52,8PXSCBTPB0EA4,05/07/2025,2025-05-12 00:00:00,Processing - Active,,05/12/2025,1278.3-17,,1278.3,VERJAVEC,"8pxscb_0a.oas,f300351a.oas",2025-01-25 03:23:54
PANTHERLAKE-CPU-P,0EA4,8PXSCB,0,PCL,B,EA6M,12/03/2024,12/08/2024,2024-12-08 12:00:00,Released,REV 4.2.1.0,F52,8PXSCBPCL0EA4,05/13/2025,2025-05-22 00:00:00,Processing - Active,,05/20/2025,1278.3-17,,1278.3,VERJAVEC,"8pxscb_0a.oas,f300351a.oas",2025-01-25 03:23:54
PANTHERLAKE-CPU-P,0EA5,8PXSCB,0,PCL,B,EA6M,12/03/2024,12/08/2024,2024-12-08 12:00:00,Released,REV 4.2.1.0,F52,8PXSCBPCL0EA5,05/16/2025,2025-05-22 00:00:00,Processing - Active,,05/20/2025,1278.3-17,,1278.3,VERJAVEC,"8pxscb_0a.oas,f300351a.oas",2025-01-25 03:23:54
PANTHERLAKE-CPU-P,0EA3,8PXSCB,0,PCT,B,EA6M,12/03/2024,12/08/2024,2024-12-08 12:00:00,Released,REV 3.0.1.0,F52,8PXSCBPCT0EA3,05/13/2025,2025-05-22 00:00:00,Processing - Active,,05/17/2025,1278.3-17,,1278.3,VERJAVEC,"8pxscb_0a.oas,f300351a.oas",2025-01-25 03:23:54
PANTHERLAKE-CPU-P,0EA4,8PXSCB,0,PCT,B,EA6M,12/03/2024,12/08/2024,2024-12-08 12:00:00,Released,REV 3.0.1.0,F52,8PXSCBPCT0EA4,05/07/2025,2025-05-22 00:00:00,Processing - Active,,04/17/2025,1278.3-17,,1278.3,VERJAVEC,"8pxscb_0a.oas,f300351a.oas",2025-01-25 03:23:54
PANTHERLAKE-CPU-P,0EA4,8PXSCB,0,TPA,B,EA6M,12/03/2024,12/08/2024,2024-12-08 12:00:00,Released,REV 3.6.2.0,F52,8PXSCBTPA0EA4,05/01/2025,2025-05-11 00:00:00,Processing - Active,,05/11/2025,1278.3-17,,1278.3,VERJAVEC,"8pxscb_0a.oas,f300351a.oas",2025-01-25 03:23:54
PANTHERLAKE-CPU-P,0AA3,8PXSCB,0,DVG,B,AI6N,12/03/2024,12/06/2024,2024-12-08 12:00:00,Released,REV 1.4.0.0,F52,8PXSCBDVG0AA3,04/24/2025,2025-05-23 00:00:00,Processing - Active,,05/21/2025,1278.3-17,,1278.3,VERJAVEC,"8pxscb_0a.oas,f300351a.oas",2025-02-03 04:03:56
PANTHERLAKE-CPU-P,0AA3,8PXSCB,0,DVP,B,AI6N,12/03/2024,12/06/2024,2024-12-08 12:00:00,Released,REV 1.1.0.0,F52,8PXSCBDVP0AA3,04/19/2025,2025-05-23 00:00:00,Shipped,2025-04-19 11:06:21,05/22/2025,1278.3-17,,1278.3,VERJAVEC,"8pxscb_0a.oas,f300351a.oas",2025-02-03 04:03:56
PANTHERLAKE-CPU-P,0AA3,8PXSCB,0,NSD,B,AI6N,12/03/2024,12/06/2024,2024-12-08 12:00:00,Released,REV 3.1.2.0,F52,8PXSCBNSD0AA3,04/24/2025,2025-05-20 00:00:00,Processing - Active,,05/20/2025,1278.3-17,,1278.3,VERJAVEC,"8pxscb_0a.oas,f300351a.oas",2025-01-25 03:23:54
PANTHERLAKE-CPU-P,0AA3,8PXSCB,0,PSD,B,AI6N,12/03/2024,12/06/2024,2024-12-08 12:00:00,Released,REV 3.1.2.0,F52,8PXSCBPSD0AA3,04/24/2025,2025-05-20 00:00:00,Processing - Active,,05/20/2025,1278.3-17,,1278.3,VERJAVEC,"8pxscb_0a.oas,f300351a.oas",2025-01-25 03:23:54
