COMMON_NAME,TITLE,FAB_PROD,RET_PROD,REV,LAYER,STEP,PLATE_TYPE,TAPEIN_TREND,ITO_TREND,ITO_COMMIT,ITO_STATUS,RET_FABREV,FAB,BARCODE,IMO_TREND,IMO_COMMIT,IMO_STATUS,SHIPDATE,FAB_REQUIREDDATE,IMO_DOTPROCESS,IMO_ISHOT,TECHNOLOGY,TO_ENGCONTACT,DBNAMES,LAST_UPDATED_TIMESTAMP
PANTHERLAKECPU-UDIE,0AA4,8PXMCVAG,8PXMCG,0,PB2,G,AI6N,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 2.0.1.0,F32,8PXMCGPB20AA4,07/04/2025,2025-07-19 00:00:00,Shipped,2025-07-04 18:15:22,07/27/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:31:53
PANTHERLAKECPU-UDIE,0AA5,8PXMCVAG,8PXMCG,0,PB2,G,AI6N,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 2.0.1.0,F32,8PXMCGPB20AA5,07/20/2025,2025-07-19 00:00:00,Shipped,2025-07-20 00:13:49,07/27/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:31:53
PANTHERLAKECPU-UDIE,0AA3,8PXMCVAG,8PXMCG,0,PBM,G,AI6N,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 3.1.4.0,F32,8PXMCGPBM0AA3,07/15/2025,2025-07-19 00:00:00,Shipped,2025-07-15 04:33:20,07/28/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-02 11:23:15
PANTHERLAKECPU-UDIE,0AA4,8PXMCVAG,8PXMCG,0,PBM,G,AI6N,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 3.1.4.0,F32,8PXMCGPBM0AA4,07/26/2025,2025-07-19 00:00:00,Shipped,2025-07-26 21:33:49,07/28/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-02 11:23:15
PANTHERLAKECPU-UDIE,0SA3,8PXMCVAG,8PXMCG,0,PDI,G,XC6N,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 1.3.0.0,F32,8PXMCGPDI0SA3,07/01/2025,2025-07-19 00:00:00,Shipped,2025-07-01 17:56:37,07/11/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:31:53
PANTHERLAKECPU-UDIE,0SA4,8PXMCVAG,8PXMCG,0,PDI,G,XC6N,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 1.3.0.0,F32,8PXMCGPDI0SA4,07/14/2025,2025-07-19 00:00:00,Shipped,2025-07-14 05:58:58,07/11/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:31:53
PANTHERLAKECPU-UDIE,0AA4,8PXMCVAG,8PXMCG,0,PS1,G,AI6N,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 2.0.11.0,F32,8PXMCGPS10AA4,07/04/2025,2025-07-19 00:00:00,Shipped,2025-07-04 14:40:37,07/14/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-02 11:24:17
PANTHERLAKECPU-UDIE,0AA5,8PXMCVAG,8PXMCG,0,PS1,G,AI6N,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 2.0.11.0,F32,8PXMCGPS10AA5,07/09/2025,2025-07-19 00:00:00,Shipped,2025-07-09 06:22:58,07/14/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-02 11:24:17
PANTHERLAKECPU-UDIE,0AA3,8PXMCVAG,8PXMCG,0,PS2,G,AI6N,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 1.0.10.0,F32,8PXMCGPS20AA3,07/09/2025,2025-07-19 00:00:00,Shipped,2025-07-09 00:44:58,07/16/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:31:53
PANTHERLAKECPU-UDIE,0AA4,8PXMCVAG,8PXMCG,0,PS2,G,AI6N,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 1.0.10.0,F32,8PXMCGPS20AA4,07/12/2025,2025-07-19 00:00:00,Shipped,2025-07-12 04:52:30,07/16/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:31:53
