LOT,OPERATION,OUT_DATE
A528920B,176866,2025-07-22 14:27:08
A528920B,198782,2025-07-22 14:27:08
A528920B,211888,2025-07-22 14:27:08
A528920B,224460,2025-07-22 14:27:09
A528920B,212749,2025-07-22 14:33:51
A528920B,211978,2025-07-22 16:38:54
A528920B,224271,2025-07-22 16:38:54
A528920B,243349,2025-07-22 18:42:49
A528920B,258367,2025-07-22 18:52:59
A528920B,217134,2025-07-22 19:14:09
A528920B,217266,2025-07-22 19:14:09
A528920B,261327,2025-07-22 19:14:09
A528920B,224518,2025-07-22 19:22:44
A528920B,228845,2025-07-22 19:22:44
A528920B,245245,2025-07-22 19:29:17
A528920B,214155,2025-07-22 19:42:53
A528920B,256934,2025-07-22 19:42:53
A528920B,146197,2025-07-22 20:11:16
A528920B,205867,2025-07-22 20:11:16
A528920B,205868,2025-07-22 21:12:40
A528920B,205869,2025-07-22 21:30:48
A528920B,205870,2025-07-22 21:56:25
A528920B,205871,2025-07-22 21:56:31
A528920B,144188,2025-07-22 22:04:50
A528920B,261115,2025-07-23 12:06:11
A528920B,250583,2025-07-23 12:48:08
A528920B,245660,2025-07-23 13:39:02
A528920B,201097,2025-07-23 14:24:21
A528920B,228433,2025-07-23 14:24:21
A528920B,245371,2025-07-24 01:12:17
A528920B,245266,2025-07-24 01:28:57
A528920B,170695,2025-07-24 01:46:11
A528920B,178896,2025-07-24 01:53:11
A528920B,239450,2025-07-24 02:36:05
A528920B,234665,2025-07-24 03:05:15
A528920B,255675,2025-07-24 03:23:51
A528920B,234664,2025-07-24 03:49:00
A528920B,218128,2025-07-24 04:04:22
A528920B,144161,2025-07-24 04:12:49
A528920B,180700,2025-07-24 04:25:27
A528920B,234668,2025-07-24 04:54:23
A528920B,209357,2025-07-24 08:44:36
A528920B,180755,2025-07-24 08:56:38
A528920B,180761,2025-07-24 09:25:52
A528920B,180702,2025-07-24 09:44:14
A528920B,234673,2025-07-24 09:57:41
A528920B,180687,2025-07-24 10:03:34
A528920B,180723,2025-07-24 10:10:41
A528920B,180724,2025-07-24 10:20:00
A528920B,224272,2025-07-24 10:20:00
A528920B,224461,2025-07-24 10:20:00
A528920B,204091,2025-07-24 11:31:06
