LOT,OPERATION,OUT_DATE
A5280130,228433,2025-07-28 05:52:13
A5280130,245371,2025-07-28 17:22:11
A5280130,245266,2025-07-28 18:36:45
A5280130,170695,2025-07-28 18:50:17
A5280130,178896,2025-07-28 19:01:17
A5280130,239450,2025-07-28 21:15:08
A5280130,234665,2025-07-29 09:50:28
A5280130,255675,2025-07-29 10:17:48
A5280130,234664,2025-07-29 10:33:53
A5280130,218128,2025-07-29 11:25:38
A5280130,144161,2025-07-29 11:37:38
A5280130,180700,2025-07-29 11:52:49
A5280130,234668,2025-07-29 19:34:37
A5280130,209357,2025-07-29 20:54:05
A5280130,180755,2025-07-29 21:10:44
A5280130,180761,2025-07-29 21:38:26
A5280130,180702,2025-07-29 21:57:58
A5280130,234673,2025-07-30 01:23:52
A5280130,180687,2025-07-30 01:31:36
A5280130,180723,2025-07-30 01:53:35
A5280130,180724,2025-07-30 02:02:42
A5280130,224272,2025-07-30 02:02:42
A5280130,224461,2025-07-30 02:02:42
A5280130,204091,2025-07-30 02:24:31
A5280130,180443,2025-07-30 02:38:49
A5280130,217267,2025-07-30 02:38:49
A5280130,224462,2025-07-30 02:38:49
A5280130,204142,2025-07-30 02:44:07
A5280130,204320,2025-07-30 02:55:06
A5280130,224273,2025-07-30 02:55:06
A5280130,180794,2025-07-30 04:05:25
A5280130,231616,2025-07-30 04:11:37
A5280130,210936,2025-07-30 04:30:43
A5280130,192004,2025-07-30 04:51:17
A5280130,234670,2025-07-30 08:59:43
A5280130,180754,2025-07-30 09:21:32
A5280130,180759,2025-07-30 21:37:46
A5280130,180701,2025-07-30 21:51:14
A5280130,234672,2025-07-30 22:26:34
A5280130,180686,2025-07-30 22:33:42
A5280130,180721,2025-07-30 22:47:49
A5280130,180722,2025-07-30 22:59:09
A5280130,204095,2025-07-31 00:44:47
A5280130,180442,2025-07-31 00:51:18
A5280130,217268,2025-07-31 00:51:18
A5280130,204148,2025-07-31 00:56:42
A5280130,204324,2025-07-31 01:07:48
A5280130,180793,2025-07-31 01:51:40
A5280130,231617,2025-07-31 01:57:49
A5280130,210937,2025-07-31 02:35:22
A5280130,192003,2025-07-31 03:02:32
A5280130,234669,2025-07-31 08:14:05
A5280130,144165,2025-07-31 08:28:26
A5280130,251464,2025-08-01 11:16:07
A5280130,251548,2025-08-01 11:35:11
A5280130,251465,2025-08-01 13:02:18
A5280130,251549,2025-08-01 13:23:53
A5280130,251466,2025-08-01 15:03:49
A5280130,251550,2025-08-01 15:15:39
A5280130,198845,2025-08-01 16:04:29
A5280130,179201,2025-08-01 16:20:02
A5280130,178985,2025-08-01 16:20:03
A5280130,199749,2025-08-02 06:33:08
A5280130,189156,2025-08-02 06:33:35
A5280130,234666,2025-08-02 06:48:08
A5280130,197489,2025-08-02 07:07:02
A5280130,199290,2025-08-02 15:12:08
