NPI,TITLE,FAB_PROD,RET_PROD,PRODUCT,LOT,EXEC_SEQ,OPERATION,OPER_SHORT_DESC,OPER_LONG_DESC,OUT_DATE,LOT_PRIORITY_MOVEIN,AREA,MODULE,ACTIVITY,CUM_ACTIVITY,LAYER
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,1045,242983,L 8 QDMxS,"L P1278 x QDM SED (DPR,PLY)",,,LITHO,LI-SAVli,0,285,QDM
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,1089,212437,L 8b PB2 S,"L P1278 b PB2 box SED (DPR,PLY)",,,LITHO,LI-SAVli,0,308,PB2
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,1138,234550,L 8s PBMbS,"L P1278 s PBM b SED (DPR,PLY)",,,LITHO,LI-SAVli,0,329,PBM
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,1159,235101,L 8s NBMnS,"L P1278 s NBM box SED (DPR,PLY)",,,LITHO,LI-SAVli,0,336,NBM
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,1238,261262,L 8TPAdyS,"L P1278 dyDGN TPA SED (PLY,DPR)",,,LITHO,LI-SAYli,0,361,TPA
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,1254,261263,L 8TPBdyS,"L P1278 dyDGN TPB SED (TPA,PLY,DPR)",,,LITHO,LI-SAYli,0,362,TPB
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,1307,218701,L 8b NSDbS,"L P1278b NSD Bx SED (PLY,DPR)",,,LITHO,LI-SAVli,0,380,NSD
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,1328,218702,L 8b PSDbS,"L P1278b PSD Bx SED (PLY,DPR)",,,LITHO,LI-SAVli,0,384,PSD
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,1404,261264,L 8GC1dyS,"L P1278 dy GC1 SED (TPAB,PLY)",,,LITHO,LI-SAVli,0,411,GC1
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,1418,261265,L 8GC2dyS,"L P1278 dy GC2 SED (TPAB,PLY)",,,LITHO,LI-SAVli,0,412,GC2
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,1482,261266,L 8PCTdyS,"L P1278 dy PCT SED (TPAB,PLY,DPR)",,,LITHO,LI-SAYli,0,422,PCT
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,1524,261267,L 8PCLdyS,"L P1278 dy PCL SED (PLY,DPR)",,,LITHO,LI-SAYli,0,434,PCL
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,1571,261268,L 8DVGdyS,"L P1278 dyDGN DVG SED (PCL,PLY)",,,LITHO,LI-SAVli,0,445,DVG
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,1596,261269,L 8DVPdyS,"L P1278 dyDGN DVP SED (DVG,PLY)",,,LITHO,LI-SAVli,0,448,DVP
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,1653,261270,L 8TLKdyS,"L P1278 dyDGN TLK SED (PLY,DVG)",,,LITHO,LI-SAYli,0,460,TLK
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,1700,261392,L 8VCGdyS,"L P1278 VCG dy SED (TLK,PCTL,PLY)",,,LITHO,LI-SAYli,0,470,VCG
